"","location","latitude","longitude","year","BY150m","BY300m","geometry"
"134","MPB-H10-833",49.34371,-114.145,2023,NA,NA,c(7004740.56672486, 11555927.6485522)
"135","MPB-H10-834",49.34456,-114.13808,2023,NA,NA,c(7004731.44956315, 11556444.0612427)
"136","MPB-H10-836",49.34388,-114.12857,2023,NA,NA,c(7004923.42008706, 11557119.0416557)
"137","MPB-H10-837",49.34411,-114.12348,2023,NA,NA,c(7004960.39828416, 11557491.4685826)
"138","MPB-H10-852",49.50484,-114.39901,2023,NA,2003,c(6983764.16851867, 11540638.6967283)
"139","MPB-H10-858",49.34856,-114.14865,2023,NA,NA,c(7004158.92613897, 11555754.8679371)
"140","MPB-H10-862",49.34746,-114.127425,2023,NA,NA,c(7004541.20870371, 11557269.0642927)
"141","MPB-S10-216",49.06327,-113.78113,2023,NA,NA,c(7040198.95363888, 11577099.290315)
"142","MPB-S10-217",49.05963,-113.78503,2023,NA,NA,c(7040554.51962865, 11576748.9924235)
"143","MPB-S10-647",49.06502,-113.78993,2023,NA,NA,c(7039899.21358095, 11576491.8162015)
"144","MPB-S10-648",49.01508,-113.67311,2023,NA,NA,c(7046828.20638978, 11584072.8142314)
"145","MPB-S10-649",49.012302,-113.671486,2023,NA,NA,c(7047154.9399671, 11584140.3309341)
"146","MPB-S10-835",49.34271,-114.13517,2023,NA,NA,c(7004971.93305433, 11556619.7560035)
"147","MPB-S10-838",49.34145,-114.11549,2023,NA,NA,c(7005352.79627578, 11558019.405284)
"148","MPB-S10-839",49.341869,-114.11052,2023,NA,NA,c(7005367.33622132, 11558386.7171859)
"149","MPB-S10-840",49.34134,-114.10097,2023,NA,NA,c(7005542.89451494, 11559067.5051338)
"150","MPB-S10-841",49.34034,-114.0972,2023,NA,NA,c(7005699.75495488, 11559321.4353898)
"151","MPB-S10-860",49.35149,-114.15206,2023,NA,NA,c(7003792.73441812, 11555563.3807806)
"152","MPB-S10-861",49.346441,-114.132561,2023,NA,NA,c(7004590.98602556, 11556878.5131865)
"153","MPB-S10-863",49.34626,-114.11797,2023,NA,NA,c(7004789.98457944, 11557930.2989617)
"154","MPB-S10-864",49.34721,-114.12318,2023,NA,NA,c(7004620.94651545, 11557571.3537045)
"155","MPB-S10-865",49.34592,-114.10529,2023,NA,NA,c(7004983.01569351, 11558840.9321589)
"156","MPB-S10-866",49.346,-114.11465,2023,NA,NA,c(7004859.4627231, 11558165.5191083)
