"location","latitude","longitude","year","BY150m","BY300m","geometry","FY150m","FY300m","FY500m"
"MPB-B10-645",49.02796,-113.56515,2023,NA,1980,c(604846.298040064, 5429382.19323661),2003,2003,2003
"MPB-B10-646",49.02936,-113.56916,2023,NA,1984,c(604550.356944643, 5429532.22271783),NA,NA,2003
"MPB-B10-827",49.50115,-114.39669,2023,1984,1984,c(543665.588579004, 5481149.35170189),NA,NA,NA
"MPB-B10-829",49.5165,-114.39349,2023,NA,1982,c(543883.459462941, 5482857.05112026),NA,NA,NA
"MPB-B10-830",49.521485,-114.39115,2023,1982,1982,c(544048.289129112, 5483412.39913718),NA,NA,NA
"MPB-B10-831",49.52279,-114.38772,2023,1982,1982,c(544295.257952885, 5483559.43512737),NA,NA,2003
"MPB-B10-851",49.502689,-114.40305,2023,NA,1984,c(543203.920293908, 5481316.71361727),NA,NA,NA
"MPB-B10-853",49.50721,-114.39511,2023,1984,1984,c(543774.536255204, 5481823.71368544),NA,NA,2003
"MPB-B10-854",49.51462,-114.3993,2023,NA,1982,c(543464.750840717, 5482644.75863152),NA,2003,2003
"MPB-B10-855",49.51771,-114.39975,2023,NA,1982,c(543429.454144769, 5482987.89016529),NA,NA,2003
"MPB-B10-856",49.52011,-114.40211,2023,NA,1982,c(543256.586722411, 5483253.24385111),NA,NA,2003
"MPB-B10-857",49.52496,-114.38435,2023,1982,1982,c(544537.087233952, 5483802.57431322),NA,NA,2003
"MPB-H10-121",49.34761,-114.1403,2023,1982,1982,c(562416.537790699, 5464267.06555397),NA,NA,NA
"MPB-H10-826",49.50009,-114.40123,2023,1984,1984,c(543337.936347162, 5481028.93321333),NA,NA,NA
"MPB-H10-828",49.5124,-114.39496,2023,NA,1982,c(543780.759192229, 5482400.56380455),NA,NA,NA
"MPB-H10-832",49.345751,-114.14721,2023,1985,1985,c(561917.19163876, 5464054.79460794),NA,NA,NA
"MPB-H10-833",49.34371,-114.145,2023,1982,1985,c(562080.215728055, 5463829.80161651),NA,NA,NA
"MPB-H10-834",49.34456,-114.13808,2023,1982,1982,c(562581.58240833, 5463929.96981535),NA,NA,NA
"MPB-H10-836",49.34388,-114.12857,2023,1982,1982,c(563272.940738653, 5463862.32872921),NA,NA,NA
"MPB-H10-837",49.34411,-114.12348,2023,1982,1982,c(563642.215380738, 5463892.16460023),NA,NA,NA
"MPB-H10-852",49.50484,-114.39901,2023,NA,1984,c(543494.404580232, 5481558.07778002),NA,2003,2003
"MPB-H10-858",49.34856,-114.14865,2023,1985,1985,c(561809.121819218, 5464365.76688766),NA,NA,NA
"MPB-H10-862",49.34746,-114.127425,2023,1982,1982,c(563351.479347732, 5464261.11805124),NA,NA,NA
"MPB-S10-216",49.06327,-113.78113,2023,1984,1984,c(589001.680777854, 5433029.78374775),NA,NA,NA
"MPB-S10-217",49.05963,-113.78503,2023,1984,1984,c(588723.38951284, 5432620.74275864),NA,NA,NA
"MPB-S10-647",49.06502,-113.78993,2023,1984,1984,c(588356.016736654, 5433213.95059828),NA,NA,NA
"MPB-S10-648",49.01508,-113.67311,2023,1980,1980,c(596982.755867803, 5427807.43125563),NA,NA,NA
"MPB-S10-649",49.012302,-113.671486,2023,1980,1980,c(597106.855387815, 5427500.82519856),NA,NA,NA
"MPB-S10-835",49.34271,-114.13517,2023,1982,1982,c(562795.221181493, 5463726.803142),NA,NA,NA
"MPB-S10-838",49.34145,-114.11549,2023,1982,1982,c(564225.807127007, 5463603.33504681),NA,NA,NA
"MPB-S10-839",49.341869,-114.11052,2023,1982,1982,c(564586.134731331, 5463654.13503297),NA,NA,NA
"MPB-S10-840",49.34134,-114.10097,2023,1982,1982,c(565280.262197881, 5463603.56070009),NA,NA,NA
"MPB-S10-841",49.34034,-114.0972,2023,1982,1982,c(565555.334017798, 5463495.70095296),NA,NA,NA
"MPB-S10-860",49.35149,-114.15206,2023,1985,1985,c(561557.897895714, 5464688.57972844),NA,NA,NA
"MPB-S10-861",49.346441,-114.132561,2023,1982,1982,c(562979.895855574, 5464143.58510737),NA,NA,NA
"MPB-S10-863",49.34626,-114.11797,2023,1982,1982,c(564039.489265425, 5464135.74236978),NA,NA,NA
"MPB-S10-864",49.34721,-114.12318,2023,1982,1982,c(563659.99765075, 5464236.9065261),NA,NA,NA
"MPB-S10-865",49.34592,-114.10529,2023,1982,1982,c(564960.552869054, 5464108.78981617),NA,NA,NA
"MPB-S10-866",49.346,-114.11465,2023,1982,1982,c(564280.872603627, 5464109.67044549),NA,NA,NA
