location,latitude,longitude,year
MPB-H10-852,49.50484,-114.39901,2023
MPB-H10-858,49.34856,-114.14865,2023
MPB-H10-862,49.34746,-114.127425,2023
MPB-S10-216,49.06327,-113.78113,2023
MPB-S10-217,49.05963,-113.78503,2023
MPB-S10-647,49.06502,-113.78993,2023
MPB-S10-648,49.01508,-113.67311,2023
MPB-S10-649,49.012302,-113.671486,2023
MPB-S10-835,49.34271,-114.13517,2023
MPB-S10-838,49.34145,-114.11549,2023
MPB-S10-839,49.341869,-114.11052,2023
MPB-S10-840,49.34134,-114.10097,2023
MPB-S10-841,49.34034,-114.0972,2023
MPB-S10-860,49.35149,-114.15206,2023
MPB-S10-861,49.346441,-114.132561,2023
MPB-S10-863,49.34626,-114.11797,2023
MPB-S10-864,49.34721,-114.12318,2023
MPB-S10-865,49.34592,-114.10529,2023
MPB-S10-866,49.346,-114.11465,2023
MPB-S10-952,52.87136,-118.12115,2023
